[Mon, 24. Jan 2022 00:36:33 UTC | ID 299524794372849664] 影凌: list
[Mon, 24. Jan 2022 00:36:53 UTC | ID 299524794372849664] 影凌: spawn jie
[Mon, 24. Jan 2022 00:36:59 UTC | ID 299524794372849664] 影凌: v jie
[Mon, 24. Jan 2022 02:15:16 UTC | ID 248374668577341443] Jasonジェ: sudo 影凌KageRyo c:fartherviewdistance:viewdistance report world
[Mon, 24. Jan 2022 04:49:58 UTC | ID 299524794372849664] 影凌: list
[Mon, 24. Jan 2022 06:29:40 UTC | ID 299524794372849664] 影凌: list
[Mon, 24. Jan 2022 11:30:47 UTC | ID 299524794372849664] 影凌: List
[Mon, 24. Jan 2022 12:17:02 UTC | ID 299524794372849664] 影凌: list
[Mon, 24. Jan 2022 12:18:18 UTC | ID 299524794372849664] 影凌: broadcast 親愛的玩家您好，本團隊預計於&e本週五（1/28）早上八點至下午四點&f實施&c例行性維護&f，請各位玩家注意，造成不便敬請見諒！
[Mon, 24. Jan 2022 12:19:12 UTC | ID 299524794372849664] 影凌: broadcast 親愛的玩家您好，本團隊預計於&e本週五（1/28）早上八點至下午四點&f實施&c例行性維護&f，請各位玩家注意，造成不便敬請見諒！
[Mon, 24. Jan 2022 12:19:53 UTC | ID 299524794372849664] 影凌: broadcast 玩家您好，若初次登入請先加入Discord群組完成綁定作業，並請記得閱讀規章，感謝您的配合！
[Mon, 24. Jan 2022 12:38:51 UTC | ID 299524794372849664] 影凌: list
[Mon, 24. Jan 2022 13:48:23 UTC | ID 299524794372849664] 影凌: list
